No,Ripeness,H,S,V,Volume,Tecsture
1,0,82.618475,128.652525,112.76175,4,5
2,0,87.029425,141.29595,110.023025,5,6
3,0,84.977175,127.012425,116.185075,6,7
4,0,84.567975,131.377725,116.60885,8,4
5,0,86.270425,126.892975,106.8966,5,6
6,0,85.454225,156.798725,86.18575,5,6
7,0,88.855025,155.42995,87.166375,7,6
8,0,87.4165,163.3944,99.955554,5,3
9,0,88.723,165.245975,105.0797,23,2
10,0,89.934375,173.0073,90.90475,2,4
11,0,91.8504,142.522325,80.305525,6,5
12,0,97.73245,161.545725,103.424125,4,5
13,0,92.885625,151.6835,83.044575,6,7
14,0,93.31835,148.3401,109.076975,6,5
15,0,93.960475,157.8885,113.70917,7,6
16,0,91.6061,153.958075,106.37415,6,5
17,0,95.116175,172.374725,124.6566,8,7
18,0,93.622375,165.4932,112.289025,7,6
19,0,96.1961,174.8676,120.815925,9,8
20,0,90.923525,163.26245,144.2787,5,4
21,1,101.751425,169.546725,133.37265,5,6
22,1,104.2678,163.750225,146.26925,7,4
23,1,101.92265,176.035675,124.73035,8,7
24,1,99.087225,213.116625,167.0349,9,8
25,1,102.2241,160.184,125.8847,6,7
26,1,103.534525,189.566575,171.04485,8,7
27,1,103.0037,187.238225,150.4077,6,7
28,1,102.52035,190.58915,150.4077,8,7
29,1,101.8712,180.361725,199.5551,7,8
30,1,101.057625,185.900275,193.401175,7,6
